City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,State Code,Race,Count
Salinas,California,30.4,77765.0,79621.0,157386,58693.0,CA,Black or African-American,3391
Schenectady,New York,36.7,32398.0,32901.0,65299,10961.0,NY,White,40278
Paradise,Nevada,37.2,122784.0,114162.0,236946,66712.0,NV,Black or African-American,25091
Evansville,Indiana,38.0,57198.0,60481.0,117679,3169.0,IN,Asian,1376
Hillsboro,Oregon,35.3,50926.0,51434.0,102360,19531.0,OR,American Indian and Alaska Native,4524
Wichita,Kansas,34.6,192354.0,197601.0,389955,40270.0,KS,Asian,25210
Fort Myers,Florida,37.3,36850.0,37165.0,74015,15365.0,FL,Hispanic or Latino,17866
Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,28187.0,PA,American Indian and Alaska Native,2689
The Woodlands,Texas,38.8,56083.0,63061.0,119144,21188.0,TX,Asian,8828
Longview,Texas,36.8,40065.0,41525.0,81590,8782.0,TX,Black or African-American,19904
Upland,California,39.7,36226.0,40221.0,76447,16552.0,CA,Black or African-American,5717
Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,58321.0,WI,White,297038
Memphis,Tennessee,34.1,312237.0,343523.0,655760,43318.0,TN,White,202961
Racine,Wisconsin,33.7,39314.0,38423.0,77737,4403.0,WI,Black or African-American,20014
Santa Monica,California,40.6,46732.0,46487.0,93219,24448.0,CA,Hispanic or Latino,14973
Toledo,Ohio,36.1,135455.0,144323.0,279778,9257.0,OH,Hispanic or Latino,23614
Costa Mesa,California,34.8,59097.0,54089.0,113186,26645.0,CA,Black or African-American,2925
Shawnee,Kansas,40.1,32313.0,32745.0,65058,4136.0,KS,White,55883
Homestead,Florida,31.4,31401.0,35099.0,66500,24408.0,FL,Hispanic or Latino,41910
Albuquerque,New Mexico,36.0,273323.0,285808.0,559131,58200.0,NM,Asian,25140
North Charleston,South Carolina,30.7,56549.0,55315.0,111864,8789.0,SC,Hispanic or Latino,12975
Yorba Linda,California,45.5,31960.0,36006.0,67966,15532.0,CA,White,49980
Yorba Linda,California,45.5,31960.0,36006.0,67966,15532.0,CA,Asian,17616
Buena Park,California,35.7,41593.0,41671.0,83264,28430.0,CA,Asian,24624
Greeley,Colorado,31.0,50792.0,50091.0,100883,11480.0,CO,American Indian and Alaska Native,2449
Redwood City,California,37.1,42676.0,42624.0,85300,27652.0,CA,Asian,14873
Sunrise Manor,Nevada,32.5,93505.0,99103.0,192608,56530.0,NV,American Indian and Alaska Native,3962
Grand Prairie,Texas,33.1,90811.0,96944.0,187755,44888.0,TX,Asian,11446
Lubbock,Texas,29.2,122320.0,126731.0,249051,14226.0,TX,American Indian and Alaska Native,7627
Kent,Washington,33.4,61825.0,65137.0,126962,38175.0,WA,American Indian and Alaska Native,3651
